code,coo_label,poc
AFG,Afghanistan,82
ALB,Albania,3
ALG,Algeria,17
AND,Andorra,67
ANG,Angola,"181,266"
ARE,Egypt,68
ARG,Argentina,1
ARM,Armenia,4
BDI,Burundi,"133,524"
BEL,Belgium,15
BEN,Benin,15
BGD,Bangladesh,55
BKF,Burkina Faso,36
BOT,Botswana,291
BRA,Brazil,2
BRU,Brunei Darussalam,2
BSN,Bosnia and Herzegovina,15
BUL,Bulgaria,11
CAM,Cambodia,46
CAN,Canada,5
CAR,Central African Republic,"349,236"
CHD,Chad,"1,112"
CHI,China,7
CHL,Chile,1
CMR,Cameroon,435
COB,"Congo, Republic of the","3,564"
COD,Democratic Republic of the Congo,"563,923"
COI,Comoros,27
COK,Cook Islands,1
COL,Colombia,1
COS,Costa Rica,2
CUB,Cuba,20
CVI,"Cabo Verde, Republic of",9
CYP,Cyprus,1
CZE,Czech Republic,10
DEN,Denmark,3
DJB,Djibouti,5
DOM,Dominican Republic,3
DRC,Democratic Republic of the Congo,"1,634"
ECU,Ecuador,1
EGU,Equatorial Guinea,171
ERT,Eritrea,"1,123"
ETH,Ethiopia,"7,052"
FGU,French Guiana,17
FRA,France,6
GAB,Gabon,27
GAM,"Gambia, Republic of The",9
GBR,United Kingdom of Great Britain and North. Ireland,15
GEO,Georgia,1
GFR,Germany,3
GHA,Ghana,96
GNB,Guinea-Bissau,31
GRE,Greece,5
GUI,Guinea,337
HAI,Haiti,13
HON,Honduras,5
HRV,Croatia,2
HUN,Hungary,12
ICO,Côte d'Ivoire,"1,331"
IND,India,18
INS,Indonesia,1
IOT,British Indian Ocean Territory,6
IRN,"Iran, Islamic Republic of",32
IRQ,Iraq,18
ISR,Israel,1
ITA,Italy,1
JOR,Jordan,2
JPN,Japan,1
KAZ,Kazakhstan,1
KEN,Kenya,174
KGZ,Kyrgyzstan,3
KIR,Kiribati,1
KNA,Saint Kitts and Nevis,1
KUW,Kuwait,1
LBR,Liberia,858
LBY,Libya,3
LEB,Lebanon,23
LES,Lesotho,14
LKA,Sri Lanka,16
LVA,Latvia,1
MAC,Macau,1
MAD,Madagascar,18
MAU,Mauritania,365
MCD,North Macedonia,1
MLI,Mali,236
MLS,Malaysia,1
MLW,Malawi,64
MOR,Morocco,5
MOZ,Mozambique,"14,193"
MTS,Mauritius,3
MYA,Myanmar,2
NAM,Namibia,"1,779"
NEP,Nepal,3
NGR,Niger,53
NIG,Nigeria,195
OMN,Oman,4
PAK,Pakistan,254
PAL,Palestine,63
PHI,Philippines,5
POL,Poland,36
POR,Portugal,29
ROM,Romania,24
RSA,South Africa,362
RUS,Russian Federation,13
RWA,Rwanda,"196,858"
SAL,El Salvador,2
SEN,Senegal,25
SER,Serbia (and Kosovo: S/RES/1244 (1999)),4
SEY,Seychelles,4
SLE,Sierra Leone,530
SOL,Solomon Islands,1
SOM,Somalia,"39,782"
SOV,Soviet Union,1
SPA,Spain,3
SRV,Viet Nam,50
SSD,South Sudan,"87,621"
STP,Sao Tome and Principe,34
SUD,Sudan,"18,260"
SVK,Slovakia,1
SWA,Eswatini,44
SYR,Syrian Arab Republic,244
TAN,United Republic of Tanzania,168
TCI,Turks and Caicos Islands,1
TOG,Togo,36
TON,Tonga,1
TUN,Tunisia,2
TUR,Turkey,329
U,Unknown,"5,056"
UGA,Uganda,"1,797"
UKR,Ukraine,4
USA,United States of America,9
WLF,Wallis and Futuna Islands,1
WSH,Western Sahara,8
YEM,Yemen,63
YUG,Yugoslavia,63
ZAM,Zambia,911
ZIM,Zimbabwe,"2,625"
ZZZ,None/Stateless,1
